#               time                E_H  E_UniformExchange            E_total                H_x                H_y                H_z                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
            5.45e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.07                764         2.9975e-08 
             5.5e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.08                771         3.0525e-08 
            5.55e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.09                778          3.108e-08 
             5.6e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589496.1                785          3.164e-08 
            5.65e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.11                792         3.2205e-08 
             5.7e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.12                799         3.2775e-08 
            5.75e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.13                806          3.335e-08 
             5.8e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.14                813          3.393e-08 
            5.85e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.15                820         3.4515e-08 
             5.9e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.16                827         3.5105e-08 
            5.95e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.18                834           3.57e-08 
               6e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.19                841           3.63e-08 
            6.05e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589496.2                848         3.6905e-08 
             6.1e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.21                855         3.7515e-08 
            6.15e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.22                862          3.813e-08 
             6.2e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.23                869          3.875e-08 
            6.25e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.24                876         3.9375e-08 
             6.3e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589496.25                883         4.0005e-08 
